Country,Cases,Deaths,Recovered,Active Cases,Critical Cases
Afghanistan,232152,7985,210164,14003,0
Albania,334863,3605,330233,1025,0
Algeria,272010,6881,183061,82068,0
Andorra,48015,165,0,47850,0
Angola,107327,1937,103419,1971,0
Anguilla,3904,12,0,3892,0
Antigua and Barbuda,9106,146,8954,6,0
Argentina,10094643,130733,9963910,0,0
Armenia,451831,8777,435162,7892,0
Aruba,44224,292,42438,1494,2
Australia,11846229,24360,11811795,10074,9
Austria,6081287,22542,6054934,3811,0
Azerbaijan,835136,10400,824089,647,0
Bahamas,38084,844,36366,874,1
Bahrain,729549,1574,727915,60,0
Bangladesh,2048914,29492,0,2019422,0
Barbados,110575,648,108647,1280,0
Belarus,994037,7118,985592,1327,0
Belgium,4861523,34376,4826361,786,0
Belize,71381,688,0,70693,0
Benin,28036,163,27847,26,0
Bermuda,18860,165,18685,10,0
Bhutan,62697,21,61564,1112,0
Bolivia,1211716,22407,1177145,12164,220
Bosnia,403603,16387,379084,8132,0
Botswana,330635,2801,327049,785,1
Brazil,38729836,711249,36249161,1769426,0
British Virgin Islands,7392,64,0,7328,0
Brunei,343469,225,243601,99643,3
Bulgaria,1339796,38746,1292927,8123,22
Burkina Faso,22109,400,21596,113,0
Burundi,54721,38,53569,1114,0
Cabo Verde,64477,417,63755,305,23
Cambodia,139100,3056,136044,0,0
Cameroon,125379,1974,123280,125,0
Canada,4944196,58972,4877631,7593,99
Caribbean Netherlands,11682,38,10476,1168,0
Cayman Islands,31472,37,8553,22882,1
Central African Republic,15440,113,15200,127,2
Chad,7701,194,4874,2633,0
Channel Islands,101717,228,101321,168,0
Chile,5383638,64497,5252450,66691,7
China,503302,5272,379053,118977,0
Colombia,6400173,143200,6212152,44821,342
Comoros,9109,161,8939,9,0
Congo,25375,386,24006,983,0
Cook Islands,7203,2,7150,51,0
Costa Rica,1238883,9428,0,1229455,0
Croatia,1309728,18687,1258432,32609,0
Cuba,1115251,8530,1106659,62,0
Curaçao,45986,295,44720,971,3
Cyprus,681110,1365,679745,0,0
Czechia,4759041,43517,4715206,318,2
Côte d'Ivoire,88384,835,87497,52,0
DRC,99338,1468,84489,13381,0
Denmark,3183756,8814,3174942,0,0
Diamond Princess,712,13,699,0,0
Djibouti,15690,189,15427,74,0
Dominica,16038,74,15964,0,0
Dominican Republic,675890,4384,671316,190,4
Ecuador,1070188,36043,1034145,0,0
Egypt,516023,24613,442182,49228,122
El Salvador,201855,4230,179410,18215,0
Equatorial Guinea,17229,183,16907,139,5
Eritrea,10189,103,10086,0,0
Estonia,628044,3001,0,625043,0
Ethiopia,501157,7574,488171,5412,0
Falkland Islands (Malvinas),1930,0,1930,0,0
Faroe Islands,34658,28,0,34630,0
Fiji,69117,885,67226,1006,0
Finland,1516045,11958,1503829,258,0
France,40138560,167642,39970918,0,0
French Guiana,98041,420,11254,86367,6
French Polynesia,79254,650,0,78604,0
Gabon,49051,307,48674,70,0
Gambia,12626,372,12189,65,0
Georgia,1861665,17132,0,1844533,0
Germany,38827040,182917,38240600,403523,0
Ghana,171889,1462,170425,2,0
Gibraltar,20550,113,0,20437,0
Greece,6101379,37869,0,6063510,0
Greenland,11971,21,2761,9189,4
Grenada,19693,238,19358,97,4
Guadeloupe,203235,1021,0,202214,0
Guatemala,1291293,20289,1269891,1113,5
Guinea,38572,468,37757,347,0
Guinea-Bissau,9614,177,8929,508,6
Guyana,74137,1300,72013,824,0
Haiti,34667,860,33734,73,0
Holy See (Vatican City State),29,0,29,0,0
Honduras,474590,11165,0,463425,0
Hong Kong,2936109,14854,2914720,6535,0
Hungary,2230232,49048,2152155,29029,0
Iceland,209906,229,0,209677,0
India,45034136,533547,0,44500589,0
Indonesia,6829162,162063,6647104,19995,0
Iran,7627186,146811,0,7480375,0
Iraq,2465545,25375,2439497,673,0
Ireland,1734582,9491,1724531,560,19
Isle of Man,38008,116,0,37892,0
Israel,4841772,12707,4798473,30592,0
Italy,26722745,196466,26357303,168976,25
Jamaica,156869,3756,0,153113,0
Japan,33803572,74694,0,33728878,0
Jordan,1746997,14122,1731007,1868,59
Kazakhstan,1411831,13848,1383020,14963,24
Kenya,344130,5689,337309,1132,0
Kiribati,5085,24,2703,2358,3
Kuwait,667158,2570,0,664588,0
Kyrgyzstan,206897,2991,196406,7500,131
Lao People's Democratic Republic,218966,758,0,218208,0
Latvia,982399,6712,971406,4281,0
Lebanon,1243838,10952,1087587,145299,74
Lesotho,36138,723,25980,9435,0
Liberia,8090,295,7783,12,2
Libyan Arab Jamahiriya,507274,6437,500835,2,0
Liechtenstein,21574,94,0,21480,0
Lithuania,1397629,9897,1387174,558,0
Luxembourg,391232,1232,0,390000,0
MS Zaandam,9,2,7,0,0
Macao,27303,123,3487,23693,0
Macedonia,350567,9976,337068,3523,0
Madagascar,68486,1426,66862,198,0
Malawi,89535,2686,0,86849,0
Malaysia,5278406,37348,5233268,7790,11
Maldives,186694,316,163687,22691,25
Mali,33164,743,32332,89,0
Malta,121420,885,120149,386,0
Marshall Islands,16138,17,16121,0,0
Martinique,230354,1102,0,229252,0
Mauritania,63848,997,62471,380,0
Mauritius,43025,1051,41278,696,0
Mayotte,42027,188,0,41839,0
Mexico,7702809,334958,6899865,467986,0
Micronesia,26547,65,0,26482,0
Moldova,635145,12218,0,622927,0
Monaco,17181,67,0,17114,0
Mongolia,1011496,2284,1009212,0,0
Montenegro,296526,2846,291794,1886,0
Montserrat,1403,8,1376,19,0
Morocco,1278992,16303,0,1262689,0
Mozambique,233731,2250,228805,2676,11
Myanmar,641873,19495,620159,2219,0
N. Korea,4772813,74,4772739,0,0
Namibia,172389,4106,167099,1184,0
Nauru,5393,1,5347,45,0
Nepal,1003450,12031,991322,97,0
Netherlands,8635591,22992,8612069,530,0
New Caledonia,80064,314,0,79750,0
New Zealand,2617712,5686,2609755,2271,0
Nicaragua,18491,225,4225,14041,0
Niger,9931,312,8890,729,1
Nigeria,267188,3155,259953,4080,11
Niue,1059,0,1056,3,0
Norway,1509732,6638,1503094,0,0
Oman,399449,4628,0,394821,0
Pakistan,1581936,30664,1538689,12583,0
Palau,6290,10,6276,4,0
Palestine,621008,5404,615445,159,0
Panama,1059893,8727,1051102,64,16
Papua New Guinea,46864,670,46168,26,0
Paraguay,837602,20155,0,817447,0
Peru,4572667,222161,4350506,0,4
Philippines,4140383,66864,4067381,6138,0
Poland,6661991,120598,0,6541393,0
Portugal,5642928,28116,5614717,95,61
Qatar,514524,690,513687,147,16
Romania,3529078,68924,3459313,841,33
Russia,24104261,402687,23524294,177280,0
Rwanda,133518,1468,132039,11,0
Réunion,494595,921,0,493674,0
S. Korea,34571873,35934,34535939,0,0
Saint Helena,2166,0,2,2164,0
Saint Kitts and Nevis,6607,48,6559,0,0
Saint Lucia,30215,410,29805,0,0
Saint Martin,12324,63,0,12261,0
Saint Pierre Miquelon,3452,2,2449,1001,0
Saint Vincent and the Grenadines,9674,124,9493,57,0
Samoa,17006,31,1605,15370,0
San Marino,26185,128,26011,46,0
Sao Tome and Principe,6765,80,6679,6,0
Saudi Arabia,841469,9646,0,831823,0
Senegal,89053,1971,87024,58,0
Serbia,2614878,18057,2596608,213,0
Seychelles,51220,172,51048,0,0
Sierra Leone,7779,126,0,7653,0
Singapore,3006155,2024,3004131,0,4
Sint Maarten,11051,92,10905,54,0
Slovakia,1877605,21224,1856381,0,23
Slovenia,1356533,7100,1349387,46,0
Solomon Islands,25954,199,0,25755,0
Somalia,27334,1361,13182,12791,0
South Africa,4076463,102595,3912506,61362,192
South Sudan,18819,147,18115,557,1
Spain,13914811,121760,13762417,30634,231
Sri Lanka,672754,16897,655852,5,0
St. Barth,5507,6,0,5501,0
Sudan,63993,5046,58947,0,0
Suriname,82588,1408,0,81180,0
Swaziland,75191,1427,73116,648,0
Sweden,2753953,27390,2726334,229,0
Switzerland,4452755,14452,4438155,148,0
Syrian Arab Republic,57743,3165,54578,0,0
Taiwan,10241523,19005,10222518,0,0
Tajikistan,17786,125,17264,397,0
Tanzania,43223,846,0,42377,0
Thailand,4769277,34581,4692636,42060,0
Timor-Leste,23460,138,23102,220,0
Togo,39572,290,39281,1,0
Tokelau,80,0,0,80,0
Tonga,16950,13,15638,1299,0
Trinidad and Tobago,191496,4390,187078,28,0
Tunisia,1153361,29423,0,1123938,0
Turkey,17232066,102174,0,17129892,0
Turks and Caicos Islands,6752,40,6709,3,4
Tuvalu,2943,1,0,2942,0
